name,ctp,yaw,ct,cp,u4,v4,an,p1,p4,dp,x0,dv,du
yaw_06_ct_02,1.2,30.0,0.5809488619324152,0.4042185453710788,0.6551865186371564,-0.07506261114842365,0.19657064064072094,0.0016632506591971058,-0.002443153438515698,-0.004106404097712804,7.0,0.07506261114842365,0.3448134813628436
yaw_06_ct_03,1.6,30.0,0.6886082554795723,0.4517501923754756,0.571700253105179,-0.08627195524061974,0.2424775825761698,0.0020673455052617174,-0.004022386830921494,-0.006089732336183212,5.800000000000001,0.08627195524061974,0.428299746894821
yaw_06_ct_04,2.0,30.0,0.7725713102116271,0.4801676162308434,0.49858958919266055,-0.0943183349540661,0.28233187325819964,0.0024199598610719964,-0.006175402190234892,-0.008595362051306888,5.4,0.0943183349540661,0.5014104108073394
yaw_06_ct_05,2.4,30.0,0.8387903254216034,0.49587760865208874,0.43600632007229845,-0.10020866403838605,0.31736201011500675,0.0027341450802268463,-0.009192008734110142,-0.011926153814336989,4.700000000000001,0.10020866403838605,0.5639936799277016
yaw_06_ct_06,2.8,30.0,0.891432446896602,0.5029833869322755,0.38291625519662076,-0.10448567145175473,0.34846976940487684,0.003007203170387573,-0.013263532042210842,-0.016270735212598416,4.1,0.10448567145175473,0.6170837448033792
yaw_06_ct_07,3.2,30.0,0.9334800530617825,0.5041764711115263,0.33764043825278217,-0.10746285333705968,0.3763414218427874,0.003268409305938198,-0.0174405926823908,-0.020709001988329,3.8000000000000007,0.10746285333705968,0.6623595617472178
yaw_06_ct_08,3.6,30.0,0.9675244821338935,0.5015817130665622,0.30114212842343074,-0.10953793605241051,0.40138292641260975,0.003483566016963402,-0.022308657358370263,-0.025792223375333666,3.5,0.10953793605241051,0.6988578715765692
yaw_06_ct_09,4.0,30.0,0.9952938889495753,0.49647457262781264,0.2705930790531794,-0.11110411372394147,0.42400987018017533,0.0036876288371139043,-0.02740651569909882,-0.031094144536212724,3.200000000000001,0.11110411372394147,0.7294069209468206
yaw_06_ct_11,4.8,30.0,1.037135817246957,0.4820952255865686,0.2248679615074177,-0.11235201058762741,0.46325678153459715,0.004022814586549689,-0.03666552169137881,-0.0406883362779285,3.200000000000001,0.11235201058762741,0.7751320384925823
yaw_06_ct_13,5.6,30.0,1.0662818801730234,0.46527961999858497,0.19265648851824896,-0.11342300073122855,0.49613827478520045,0.0043193489305024604,-0.04386612384843468,-0.04818547277893714,3.0999999999999996,0.11342300073122855,0.8073435114817511
yaw_06_ct_15,6.4,30.0,1.0878039160086406,0.4484726262801908,0.1698559376439282,-0.11347474147495713,0.523947675318003,0.004548836957780758,-0.051044537872472096,-0.055593374830252854,2.7,0.11347474147495713,0.8301440623560719
yaw_06_ct_17,7.2,30.0,1.1040839060508876,0.43235140116283705,0.151859105674544,-0.11386678491091001,0.5478274857955028,0.004750110152752542,-0.056778450186448455,-0.061528560339201,3.0999999999999996,0.11386678491091001,0.848140894325456
